slot,row,density
1,A,22
2,A,16
3,A,40
4,A,78
5,A,55
6,A,11
7,A,21
8,A,22
9,A,58
10,A,29
11,A,63
12,A,14
13,A,43
14,A,32
15,A,40
16,A,53
17,A,97
18,A,19
19,A,37
20,A,16
21,A,39
22,A,12
23,A,25
24,A,32
25,A,1
26,A,61
27,A,32
28,A,31
29,A,89
30,A,
31,A,
32,A,
33,A,
34,A,
35,A,
36,A,
37,A,
38,A,
39,A,
40,A,
41,A,
42,A,
43,A,
44,A,
1,B,16
2,B,13
3,B,73
4,B,19
5,B,87
6,B,42
7,B,42
8,B,46
9,B,89
10,B,31
11,B,29
12,B,46
13,B,20
14,B,15
15,B,54
16,B,89
17,B,52
18,B,74
19,B,62
20,B,46
21,B,30
22,B,1
23,B,43
24,B,43
25,B,32
26,B,47
27,B,10
28,B,73
29,B,34
30,B,95
31,B,
32,B,
33,B,
34,B,
35,B,
36,B,
37,B,
38,B,
39,B,
40,B,
41,B,
42,B,
43,B,
44,B,
1,C,1
2,C,2
3,C,59
4,C,94
5,C,88
6,C,52
7,C,96
8,C,89
9,C,25
10,C,5
11,C,96
12,C,17
13,C,44
14,C,31
15,C,96
16,C,79
17,C,90
18,C,23
19,C,38
20,C,25
21,C,11
22,C,23
23,C,87
24,C,66
25,C,91
26,C,7
27,C,28
28,C,88
29,C,68
30,C,69
31,C,
32,C,
33,C,
34,C,
35,C,
36,C,
37,C,
38,C,
39,C,
40,C,
41,C,
42,C,
43,C,
44,C,
1,D,18
2,D,28
3,D,56
4,D,93
5,D,29
6,D,65
7,D,2
8,D,57
9,D,45
10,D,100
11,D,31
12,D,3
13,D,68
14,D,7
15,D,44
16,D,51
17,D,88
18,D,89
19,D,6
20,D,74
21,D,17
22,D,37
23,D,79
24,D,35
25,D,44
26,D,23
27,D,65
28,D,88
29,D,7
30,D,56
31,D,
32,D,
33,D,
34,D,
35,D,
36,D,
37,D,
38,D,
39,D,
40,D,
41,D,
42,D,
43,D,
44,D,
1,E,49
2,E,41
3,E,70
4,E,97
5,E,10
6,E,47
7,E,7
8,E,29
9,E,100
10,E,73
11,E,91
12,E,100
13,E,48
14,E,88
15,E,4
16,E,99
17,E,77
18,E,64
19,E,44
20,E,90
21,E,34
22,E,54
23,E,44
24,E,91
25,E,25
26,E,52
27,E,71
28,E,36
29,E,82
30,E,60
31,E,
32,E,
33,E,
34,E,
35,E,
36,E,
37,E,
38,E,
39,E,
40,E,
41,E,
42,E,
43,E,
44,E,
1,F,24
2,F,11
3,F,96
4,F,86
5,F,40
6,F,12
7,F,80
8,F,60
9,F,42
10,F,78
11,F,36
12,F,35
13,F,37
14,F,77
15,F,89
16,F,66
17,F,96
18,F,12
19,F,95
20,F,17
21,F,8
22,F,75
23,F,45
24,F,7
25,F,2
26,F,10
27,F,25
28,F,95
29,F,19
30,F,3
31,F,
32,F,
33,F,
34,F,
35,F,
36,F,
37,F,
38,F,
39,F,
40,F,
41,F,
42,F,
43,F,
44,F,
1,G,46
2,G,87
3,G,55
4,G,67
5,G,35
6,G,45
7,G,6
8,G,55
9,G,28
10,G,38
11,G,80
12,G,2
13,G,87
14,G,19
15,G,17
16,G,32
17,G,90
18,G,87
19,G,1
20,G,7
21,G,92
22,G,2
23,G,19
24,G,21
25,G,44
26,G,68
27,G,53
28,G,50
29,G,33
30,G,61
31,G,
32,G,
33,G,
34,G,
35,G,
36,G,
37,G,
38,G,
39,G,
40,G,
41,G,
42,G,
43,G,
44,G,
1,H,3
2,H,82
3,H,45
4,H,3
5,H,93
6,H,9
7,H,19
8,H,14
9,H,68
10,H,91
11,H,59
12,H,29
13,H,77
14,H,65
15,H,60
16,H,84
17,H,31
18,H,68
19,H,75
20,H,18
21,H,81
22,H,15
23,H,4
24,H,9
25,H,16
26,H,1
27,H,69
28,H,24
29,H,95
30,H,7
31,H,
32,H,
33,H,
34,H,
35,H,
36,H,
37,H,
38,H,
39,H,
40,H,
41,H,
42,H,
43,H,
44,H,
1,I,61
2,I,32
3,I,25
4,I,49
5,I,37
6,I,73
7,I,19
8,I,9
9,I,20
10,I,32
11,I,77
12,I,17
13,I,69
14,I,10
15,I,35
16,I,91
17,I,70
18,I,50
19,I,54
20,I,93
21,I,57
22,I,55
23,I,48
24,I,94
25,I,1
26,I,99
27,I,66
28,I,28
29,I,56
30,I,50
31,I,
32,I,
33,I,
34,I,
35,I,
36,I,
37,I,
38,I,
39,I,
40,I,
41,I,
42,I,
43,I,
44,I,
1,J,34
2,J,96
3,J,96
4,J,60
5,J,14
6,J,30
7,J,16
8,J,96
9,J,75
10,J,21
11,J,67
12,J,98
13,J,31
14,J,1
15,J,67
16,J,76
17,J,100
18,J,96
19,J,78
20,J,60
21,J,10
22,J,1
23,J,85
24,J,25
25,J,98
26,J,20
27,J,18
28,J,59
29,J,4
30,J,
31,J,
32,J,
33,J,
34,J,
35,J,
36,J,
37,J,
38,J,
39,J,
40,J,
41,J,
42,J,
43,J,
44,J,
